"year","m","month","variable","pc1","pc2"
1948,1,"Jan","sst",0.136338409409651,-0.347493828523128
1948,2,"Feb","sst",-0.122649760082515,-0.404619979434836
1948,3,"Mar","sst",-0.249574864508471,1.11879777802408
1948,4,"Apr","sst",-0.463993124730729,-0.888405550082541
1948,5,"May","sst",-0.927240802870227,0.784408452635538
1948,6,"Jun","sst",0.463917524909084,1.03903070466392
1948,7,"Jul","sst",0.937421761016233,1.99483093882912
1948,8,"Aug","sst",0.521942391606715,1.56915615277957
1948,9,"Sep","sst",-0.274329226502717,0.632973823733195
1948,10,"Oct","sst",-1.30817247298593,0.281575245693646
1948,11,"Nov","sst",-0.666563916334385,-0.66985153200264
1948,12,"Dec","sst",-1.12153035486887,1.21200461729773
1949,1,"Jan","sst",-1.76964626044139,1.52415755801034
1949,2,"Feb","sst",-1.9836200080058,1.9632980397861
1949,3,"Mar","sst",-1.04485459017095,1.19650687356119
1949,4,"Apr","sst",-0.713951218686081,1.1595167110185
1949,5,"May","sst",-0.586597420601114,0.856068151526307
1949,6,"Jun","sst",-0.584294433812299,0.443916841323114
1949,7,"Jul","sst",-0.416995618040981,1.61802046323342
1949,8,"Aug","sst",-0.416362904302428,1.34042077914838
1949,9,"Sep","sst",-0.200224172980058,1.17189194684861
1949,10,"Oct","sst",-0.989003864615937,1.21254287489057
1949,11,"Nov","sst",-0.270521272380073,0.418450228531456
1949,12,"Dec","sst",-0.08199720141248,0.616177001366689
1950,1,"Jan","sst",-0.751247182712474,1.25213128978054
1950,2,"Feb","sst",-0.955983177461673,1.65272194941494
1950,3,"Mar","sst",-0.699965691579007,1.33342031220048
1950,4,"Apr","sst",-0.840674769106395,0.828851179340983
1950,5,"May","sst",-1.80490410624505,1.12786683011619
1950,6,"Jun","sst",-1.50351534193483,0.387758731367126
1950,7,"Jul","sst",-1.88658408191699,1.41733365739852
1950,8,"Aug","sst",-1.24898903932875,0.902239513939907
1950,9,"Sep","sst",-0.801130554206085,0.615771405704158
1950,10,"Oct","sst",-0.819509565925838,-0.418092788879375
1950,11,"Nov","sst",-0.773702893248057,-0.340784573969086
1950,12,"Dec","sst",-0.1334324820878,0.300117014459711
1951,1,"Jan","sst",-0.333755689904584,-0.220035909211788
1951,2,"Feb","sst",-0.544993176504629,0.525322968880431
1951,3,"Mar","sst",-0.915920896227154,0.330601691647202
1951,4,"Apr","sst",-0.699098643727157,0.126591148731127
1951,5,"May","sst",-0.39852833816408,0.35548133105511
1951,6,"Jun","sst",-0.680098723578386,0.74425682172014
1951,7,"Jul","sst",0.721139470528391,0.591613373223859
1951,8,"Aug","sst",0.0702348601753171,1.71544564545878
1951,9,"Sep","sst",0.525342240010621,0.897084757371702
1951,10,"Oct","sst",0.89782330658065,0.988014378990453
1951,11,"Nov","sst",0.569180430872691,0.648256976538012
1951,12,"Dec","sst",-0.548598409901807,0.981745760582844
1952,1,"Jan","sst",-1.33836813827027,1.2094979887131
1952,2,"Feb","sst",-0.605761881698842,0.465490248825922
1952,3,"Mar","sst",-0.949032423395199,1.40406157700113
1952,4,"Apr","sst",-1.14985902969756,0.591664725113827
1952,5,"May","sst",-1.06754179019701,0.23671808094583
1952,6,"Jun","sst",-1.44041186860427,-0.114602036177308
1952,7,"Jul","sst",-1.23950443868655,-0.0976220940831972
1952,8,"Aug","sst",-0.541285223959601,0.394208684871499
1952,9,"Sep","sst",-0.202654799165001,0.384109848256908
1952,10,"Oct","sst",0.542798718540769,0.913146083551173
1952,11,"Nov","sst",0.459241956596925,-0.281932099467578
1952,12,"Dec","sst",-0.161600583497043,-0.338676193299991
1953,1,"Jan","sst",0.0746711664417095,-0.809165717562105
1953,2,"Feb","sst",-0.185666244064125,-0.669124009546993
1953,3,"Mar","sst",-0.588659305406313,-0.227224746242413
1953,4,"Apr","sst",-0.32004406453922,-0.296266082571663
1953,5,"May","sst",-0.0925182274564822,-0.678476820814414
1953,6,"Jun","sst",-0.129277883484811,-0.0998587602612849
1953,7,"Jul","sst",0.62911608529924,-0.282947543084481
1953,8,"Aug","sst",0.0988798698676177,0.666684972753147
1953,9,"Sep","sst",-0.0545037547344078,0.320996132616625
1953,10,"Oct","sst",-0.431873895572234,-0.229996053298375
1953,11,"Nov","sst",-0.0100330956814388,-1.0553189347886
1953,12,"Dec","sst",0.126517772325479,-1.23075858102367
1954,1,"Jan","sst",-0.179246103405299,-0.121874232363677
1954,2,"Feb","sst",-0.139560262335891,-0.170021127169062
1954,3,"Mar","sst",-0.321603543442294,-0.139504702832835
1954,4,"Apr","sst",-0.0722736494574616,0.556502922386553
1954,5,"May","sst",0.226034858823466,0.227177737141962
1954,6,"Jun","sst",0.627753503739078,-0.982449296839755
1954,7,"Jul","sst",-0.0969285649212709,-1.22697837357583
1954,8,"Aug","sst",0.300027812605977,-0.160647152267551
1954,9,"Sep","sst",0.238985227960173,1.04998342626849
1954,10,"Oct","sst",0.670068112747971,-0.0782746907280237
1954,11,"Nov","sst",1.20730113649406,-0.897075446896686
1954,12,"Dec","sst",0.902724317660406,-0.610179936668143
1955,1,"Jan","sst",0.0359168510993612,-0.818243211806322
1955,2,"Feb","sst",-0.279888945962933,-0.0194579449939148
1955,3,"Mar","sst",-0.444541565170789,0.540499634268333
1955,4,"Apr","sst",-1.09393100371799,0.711010986833394
1955,5,"May","sst",-1.25690213078472,-0.125802805360951
1955,6,"Jun","sst",-1.78958144902022,-0.234203499466881
1955,7,"Jul","sst",-1.76255411006867,0.345571071334613
1955,8,"Aug","sst",-1.43939988422665,1.09016960097577
