LAT,LONG,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
33N,119W,1991,-12,-18,-22,62,94,-12,16,-21,-6,3,9,-10
33N,119W,1992,-27,-48,-87,-28,-84,-42,-54,-29,-2,-3,-3,-4
33N,119W,1993,-20,-33,-43,38,-111,-120,-3,-48,-20,-38,-17,-6
33N,119W,1994,-9,-39,-53,26,-65,-10,96,4,15,13,23,4
33N,119W,1995,-20,-33,-74,23,-43,-53,-13,10,34,-16,11,16
33N,119W,1996,21,-14,-25,-25,-6,-20,-8,-39,5,28,22,-9
33N,119W,1997,-11,42,-35,74,-81,-30,11,-6,-11,-16,-8,-11
33N,119W,1998,4,6,-20,-38,-114,-112,-64,-96,-15,8,30,14
33N,119W,1999,17,34,33,72,47,19,41,44,1,-16,1,4
33N,119W,2000,14,-30,-10,4,-28,-106,64,-9,-21,17,27,-8
33N,119W,2001,-5,-38,-48,93,-113,-69,33,35,22,-9,19,15
33N,119W,2002,5,-36,-7,27,16,19,27,28,-5,52,-13,-2
33N,119W,2003,-21,-29,-5,7,44,82,76,131,83,-44,-15,-13
33N,119W,2004,-6,-30,-39,-53,-24,-94,-72,-97,-72,-4,31,-8
33N,119W,2005,-7,-42,-23,19,-70,-73,-69,-78,51,55,38,33
33N,119W,2006,60,14,21,-55,-91,-101,-70,-19,-2,30,96,52
33N,119W,2007,36,85,44,104,-13,-50,-31,-55,3,24,28,37
33N,119W,2008,-15,33,89,60,-56,-87,-69,-77,-27,-10,18,31
33N,119W,2009,-1,-9,22,22,-71,-145,-48,-68,-2,63,78,26
33N,119W,2010,-16,23,7,-2,-38,-18,41,-9,-14,-10,11,15
33N,119W,2011,-14,-26,-15,27,-22,-23,-4,16,-19,10,-2,12
33N,119W,2012,18,25,-4,6,86,104,29,-58,-33,11,12,26
33N,119W,2013,-4,37,16,79,-23,6,14,6,35,4,-5,-3
33N,119W,2014,-6,15,-34,-10,-73,-11,-45,-62,7,-26,-2,-8
33N,119W,2015,-19,-9,-49,-10,-70,-43,-53,16,-42,-3,17,67
33N,119W,2016,-6,-10,43,-13,-64,-64,40,40,-2,16,22,9
33N,119W,2017,-6,4,8,61,9,69,22,27,3,13,32,6
33N,119W,2018,4,12,-46,109,35,41,-11,21,81,-7,-1,20
33N,119W,2019,-18,-4,-39,44,-45,-53,99,69,24,-18,15,-9
33N,119W,2020,54,11,-68,2,0,-16,80,-13,-18,-11,33,12
33N,119W,2021,-2,83,9,146,97,23,40,,,,,
999,9,,,,,,,,,,,,,
36N,122W,1946,19,-19,16,-9,-30,18,-45,-37,-35,3,5,-4
36N,122W,1947,22,-26,-46,0,-98,-85,-19,-29,-7,-8,53,28
36N,122W,1948,-14,43,-14,-73,-50,-125,-47,-34,3,-7,17,6
36N,122W,1949,22,1,-67,-16,-88,-89,-78,-52,-50,13,-15,13
36N,122W,1950,24,-32,-27,3,-20,-86,-83,-76,-39,-36,-11,-8
36N,122W,1951,30,-12,22,-41,-37,-91,-36,-77,-36,-13,-11,-1
36N,122W,1952,-6,-17,23,-44,-33,-54,-125,-48,-53,-37,-8,-6
36N,122W,1953,0,81,36,8,-58,19,-73,-102,-63,-8,-7,25
36N,122W,1954,3,-33,-46,-24,-42,-15,-76,-15,24,-13,-5,-15
36N,122W,1955,4,2,3,34,144,125,93,106,122,36,36,-11
36N,122W,1956,-8,10,59,5,-30,161,78,106,17,47,-9,9
36N,122W,1957,-7,-34,13,41,-74,70,74,80,-16,-13,3,-8
36N,122W,1958,-15,-59,-49,5,-88,-9,44,32,39,-5,43,-5
36N,122W,1959,1,-19,79,39,97,174,120,61,95,56,7,5
36N,122W,1960,-10,25,24,20,31,-98,-105,-22,-9,15,-1,-3
36N,122W,1961,-26,39,55,6,39,-100,-64,-95,-37,6,-11,22
36N,122W,1962,7,-27,-56,30,5,-53,9,-43,12,-7,39,-10
36N,122W,1963,-5,-34,-46,-64,-64,-7,6,10,-66,-23,-10,-12
36N,122W,1964,12,37,54,145,92,57,115,51,61,-14,-11,3
36N,122W,1965,-4,46,-23,-66,113,41,30,25,-2,-17,-22,-4
36N,122W,1966,-7,-10,-16,15,5,68,73,59,-3,11,-12,-2
36N,122W,1967,-9,-7,-28,-24,63,5,50,31,-2,11,-13,3
36N,122W,1968,-14,-41,-37,124,103,107,54,-25,41,9,6,-8
36N,122W,1969,-14,-36,-21,41,44,6,105,99,45,1,-17,-7
36N,122W,1970,-28,-38,5,176,23,-34,-16,38,10,-14,-13,-7
36N,122W,1971,2,61,-12,81,19,55,42,-31,-15,24,13,0
36N,122W,1972,-1,-30,27,26,-20,-11,-1,-4,-11,-45,-11,-3
36N,122W,1973,-13,-63,43,87,57,28,97,67,17,-6,5,-7
36N,122W,1974,-11,-2,-52,27,158,49,15,34,34,20,7,12
36N,122W,1975,16,-25,-25,35,68,48,68,18,58,22,45,16
36N,122W,1976,11,-15,44,-6,56,-43,26,-74,-14,0,-8,-6
36N,122W,1977,-9,-1,61,32,-65,-7,49,-10,-9,18,29,-17
36N,122W,1978,-47,-34,-75,-62,-15,1,54,0,-11,19,10,5
36N,122W,1979,-14,-25,-50,40,56,111,40,76,27,-8,-9,-16
36N,122W,1980,-12,-52,25,23,114,53,26,93,37,2,20,-14
36N,122W,1981,-31,-30,-24,68,130,50,52,69,65,-7,-12,-4
36N,122W,1982,-9,-31,-71,-80,36,-32,23,-13,21,-23,-12,-4
36N,122W,1983,-34,-51,-76,-86,-16,30,25,-67,-20,-19,-1,-5
36N,122W,1984,2,-12,21,110,74,97,-12,6,19,44,-9,-10
36N,122W,1985,-12,16,8,29,25,-40,4,-3,-10,25,16,-18
36N,122W,1986,-26,-37,-54,37,3,-41,7,-2,1,0,33,-9
36N,122W,1987,-6,-23,-56,12,-12,-42,18,-45,35,-31,2,-8
36N,122W,1988,-11,-12,63,-68,-12,-34,14,-35,19,7,10,-4
36N,122W,1989,12,-14,-54,-41,51,-48,137,35,-4,-22,4,-10
36N,122W,1990,-1,7,16,17,-54,-20,-71,-76,-7,-3,27,9
36N,122W,1991,-12,-28,-41,80,103,-11,-56,-50,-38,-11,38,-13
36N,122W,1992,-13,-51,-68,6,-41,-66,-26,-17,2,-27,17,-8
36N,122W,1993,-25,-44,-29,77,-131,-38,-2,-49,3,-35,-10,-7
36N,122W,1994,-8,-31,-19,71,-7,49,44,43,1,22,26,-1
36N,122W,1995,96,-29,-71,10,-15,-54,-48,4,44,5,34,-1
36N,122W,1996,6,-33,-38,-8,2,48,-12,4,21,48,18,-8
36N,122W,1997,-8,88,49,126,-88,75,19,-27,29,20,-11,-6
36N,122W,1998,-8,-33,23,7,-89,-54,-7,-25,14,43,24,44
36N,122W,1999,18,14,25,155,200,115,68,45,-9,5,-10,42
36N,122W,2000,2,-57,67,-8,41,-63,121,54,-5,30,50,-3
36N,122W,2001,-8,-35,5,145,-16,86,79,94,41,16,-4,0
36N,122W,2002,32,-17,4,65,105,192,37,46,26,51,-5,-34
36N,122W,2003,-23,0,14,-23,87,81,123,92,47,25,-13,-44
36N,122W,2004,-11,-36,16,-22,59,-33,-95,-111,-11,-2,49,-4
36N,122W,2005,-10,-35,-26,41,-51,-42,-61,-55,58,83,58,2
36N,122W,2006,43,9,-31,-74,-32,-45,-2,-35,17,10,106,48
36N,122W,2007,108,43,85,117,19,-22,-60,-82,-4,24,61,53
36N,122W,2008,-11,30,154,85,-32,-42,-82,-69,-33,29,34,33
36N,122W,2009,41,-33,41,45,-54,-156,-69,-92,3,17,25,-7
36N,122W,2010,-33,-33,-28,4,16,67,-2,6,11,-22,25,-6
36N,122W,2011,12,-17,-57,59,-5,-36,24,68,-10,11,10,37
36N,122W,2012,33,29,-37,3,158,148,108,60,85,17,-8,3
36N,122W,2013,17,74,27,125,37,79,84,51,83,40,10,24
36N,122W,2014,12,-13,-42,23,37,108,-13,-7,24,-7,1,-9
36N,122W,2015,0,-16,4,41,-12,16,-43,-1,34,10,45,28
36N,122W,2016,-19,-7,-14,0,-27,56,130,62,74,-11,7,15
36N,122W,2017,-11,-29,12,9,83,111,128,45,8,60,9,34
36N,122W,2018,1,72,-63,69,69,167,67,86,126,26,8,15
36N,122W,2019,-17,-24,-60,49,-37,2,157,65,81,34,38,-11
36N,122W,2020,56,97,-50,48,-17,33,85,17,-2,13,53,24
36N,122W,2021,2,90,3,143,196,40,101,,,,,
999,9,,,,,,,,,,,,,
39N,125W,1946,19,-19,9,-33,-39,-56,-42,16,-28,39,12,7
39N,125W,1947,27,-12,-34,-9,-56,-45,-99,30,18,-11,51,13
39N,125W,1948,9,40,-8,-62,-77,-59,-34,-22,-9,-8,14,19
39N,125W,1949,53,13,-40,-25,-57,-2,-22,-65,-22,45,-28,23
39N,125W,1950,37,-16,-24,3,86,-46,23,-49,-15,-26,7,-46
39N,125W,1951,20,-7,54,-3,-37,3,21,40,-30,-8,-11,16
39N,125W,1952,10,-7,68,-24,-24,-30,-38,-13,-11,-20,7,-33
39N,125W,1953,-26,56,4,-27,-50,22,-8,-86,-30,0,-16,20
39N,125W,1954,8,-17,-25,-34,-1,-43,-37,-44,-6,-19,-20,-17
39N,125W,1955,16,17,29,4,160,42,60,115,70,12,21,-32
39N,125W,1956,-49,11,2,38,-18,36,22,19,-37,25,9,13
39N,125W,1957,14,-19,-20,8,-89,-1,35,28,-51,-12,9,-7
39N,125W,1958,-100,-159,-26,-19,-77,-77,-33,4,15,-11,18,-3
39N,125W,1959,9,1,47,54,38,39,75,71,24,43,14,13
39N,125W,1960,-7,9,-12,-41,-76,0,-83,-9,9,-8,6,-20
39N,125W,1961,-74,4,-10,-15,-49,-65,-72,-73,20,23,3,26
39N,125W,1962,20,-28,-26,-18,-21,-9,4,-64,8,-15,13,-18
39N,125W,1963,24,-53,-27,-55,-43,87,-27,21,-60,-18,3,1
39N,125W,1964,22,97,57,202,16,-18,43,58,131,-13,2,1
39N,125W,1965,3,27,-2,-24,176,63,-20,-37,15,-11,-45,15
39N,125W,1966,12,-6,-25,57,69,25,4,64,-25,32,-5,5
39N,125W,1967,6,31,-18,-24,75,42,78,35,5,-2,7,18
39N,125W,1968,3,-69,-34,156,-13,73,40,-77,13,2,0,-27
39N,125W,1969,5,-56,-20,-27,-12,-22,158,218,55,-11,9,-36
39N,125W,1970,-128,-49,21,150,64,-17,32,80,74,-7,-21,-4
39N,125W,1971,27,41,-28,7,58,2,-13,-54,0,53,15,21
39N,125W,1972,16,-28,-14,21,60,87,9,23,18,21,5,10
39N,125W,1973,-36,-62,65,184,128,158,142,180,23,33,0,-23
39N,125W,1974,14,0,-34,36,232,130,0,111,41,94,9,17
39N,125W,1975,33,-29,-15,81,130,188,48,108,102,4,26,17
39N,125W,1976,22,0,65,-10,207,137,67,-28,71,59,9,15
39N,125W,1977,13,-4,104,52,-27,205,183,54,30,59,21,-37
39N,125W,1978,-99,-23,-34,-34,165,66,182,106,56,117,61,40
39N,125W,1979,11,-15,-22,-33,119,142,-12,2,25,-13,-10,-25
39N,125W,1980,12,-86,55,-7,140,28,51,199,53,17,14,-10
39N,125W,1981,-77,-12,-12,122,126,151,164,77,44,2,-10,-30
39N,125W,1982,21,-10,-36,-55,205,-53,7,-16,81,-15,-1,-7
39N,125W,1983,-75,-151,-114,-50,4,80,35,-36,80,3,-22,-4
39N,125W,1984,30,-11,-5,42,32,158,93,43,120,17,-25,14
39N,125W,1985,13,77,8,38,-4,19,-35,0,12,49,29,1
39N,125W,1986,-111,-46,-33,68,-15,-47,68,19,-5,-1,47,-10
39N,125W,1987,-2,-7,-38,13,44,8,-15,42,64,7,7,1
39N,125W,1988,-9,34,75,-46,-42,8,81,43,81,20,8,25
39N,125W,1989,49,1,-58,-39,54,-34,137,93,-7,23,56,18
39N,125W,1990,25,9,-2,13,-37,-32,-76,-77,-2,54,46,42
39N,125W,1991,11,-14,-9,36,115,99,19,-65,16,32,34,9
39N,125W,1992,-11,-79,-34,-51,56,-39,-34,12,10,-13,15,14
39N,125W,1993,5,-28,-33,-37,-121,52,96,22,44,18,21,-5
39N,125W,1994,7,-12,-19,47,41,56,68,63,8,72,35,-2
39N,125W,1995,-296,-9,-43,-18,46,-29,-76,83,25,73,15,-29
39N,125W,1996,10,-40,-25,-51,37,165,49,80,54,43,19,-21
39N,125W,1997,8,65,50,45,-86,145,105,-58,18,54,-8,11
39N,125W,1998,-84,-94,4,9,-81,91,52,156,96,37,-4,40
39N,125W,1999,11,-31,-19,215,240,175,74,42,115,15,-39,28
39N,125W,2000,-9,-121,70,-48,-8,49,120,134,52,44,20,7
39N,125W,2001,8,-14,50,58,132,159,184,64,43,71,-6,-6
39N,125W,2002,16,-9,-3,48,78,220,89,146,67,108,4,-162
39N,125W,2003,-89,29,-16,-51,97,134,145,15,77,30,0,-82
39N,125W,2004,-25,-34,56,4,25,73,-36,-42,110,25,84,15
39N,125W,2005,-4,-5,-17,11,-60,29,35,70,131,62,46,-25
39N,125W,2006,13,18,-36,-38,46,35,116,105,107,96,35,16
39N,125W,2007,119,14,76,77,115,61,-66,-1,42,16,62,39
39N,125W,2008,12,31,98,81,107,120,-12,55,24,44,18,46
39N,125W,2009,52,-29,58,89,24,-30,4,-5,45,48,19,-1
39N,125W,2010,-145,-40,-18,-2,2,102,67,73,39,-1,39,-48
39N,125W,2011,33,18,-73,24,-5,49,92,130,55,42,13,82
39N,125W,2012,23,26,-43,-43,167,76,190,131,159,4,-5,15
39N,125W,2013,51,145,26,165,54,85,202,-7,28,117,29,110
39N,125W,2014,27,-12,-20,32,83,266,95,106,11,-12,6,-17
39N,125W,2015,19,-3,19,101,123,119,-35,-21,107,31,50,14
39N,125W,2016,-108,-7,-26,13,109,120,182,109,174,-21,-6,41
39N,125W,2017,2,-34,-19,-49,175,85,235,114,78,131,-5,35
39N,125W,2018,4,177,-34,-16,110,219,110,96,136,56,24,15
39N,125W,2019,-18,5,-33,82,24,220,142,45,111,97,94,-4
39N,125W,2020,27,241,14,77,-36,127,155,130,-24,138,41,25
39N,125W,2021,14,83,5,138,305,36,228,,,,,
999,9,,,,,,,,,,,,,
42N,125W,1946,51,-40,2,-29,-30,-73,-64,8,-22,19,37,46
42N,125W,1947,66,10,-8,-21,-21,-63,-100,41,8,-21,56,35
42N,125W,1948,60,38,-1,-43,-64,-29,-52,-31,-21,1,36,48
42N,125W,1949,84,-17,-4,-27,-49,14,-4,-59,-12,32,-99,46
42N,125W,1950,53,-42,-30,-22,50,-26,22,-50,-3,-30,10,-81
42N,125W,1951,31,6,20,21,-32,49,-13,59,-23,-2,-45,41
42N,125W,1952,-8,14,31,-23,-26,-28,-10,-10,-3,-1,18,-127
42N,125W,1953,-137,43,0,-28,-54,-9,-2,-64,-3,1,-52,48
42N,125W,1954,15,-32,0,-19,-8,-68,-43,-39,-17,-16,-69,-43
42N,125W,1955,48,32,14,-5,90,17,16,82,34,3,25,-18
42N,125W,1956,-70,27,3,60,2,-20,5,10,-26,9,33,36
42N,125W,1957,65,14,-17,1,-63,-18,8,-2,-33,0,37,-29
42N,125W,1958,-191,-166,-4,-24,-30,-46,-6,-2,-6,-1,33,-18
42N,125W,1959,18,23,13,38,3,-7,41,66,-13,14,39,37
42N,125W,1960,1,18,-5,-33,-74,38,-45,-2,15,-7,-6,-10
42N,125W,1961,-127,-28,-40,-8,-62,-45,-58,-39,40,13,13,54
42N,125W,1962,64,-1,-2,-20,-7,-16,47,-43,-6,-3,4,-22
42N,125W,1963,84,-73,-1,-34,-44,54,-39,-15,-37,-15,16,3
42N,125W,1964,-5,63,19,114,10,-31,-10,8,49,-7,5,-30
42N,125W,1965,-12,35,25,-8,100,92,30,-14,63,-2,-59,32
42N,125W,1966,20,18,-15,67,158,-9,7,91,-12,17,17,-28
42N,125W,1967,12,34,0,-3,99,92,98,51,5,-5,40,52
42N,125W,1968,11,-76,-20,111,0,57,65,-56,10,-2,-20,-40
42N,125W,1969,42,-55,-1,-27,-24,2,107,100,18,-2,28,-62
42N,125W,1970,-89,-34,15,65,31,-5,22,69,35,0,-6,-15
42N,125W,1971,66,41,-26,-7,66,-28,-13,-39,-6,23,33,49
42N,125W,1972,63,-36,-6,-4,22,52,-13,4,8,60,8,14
42N,125W,1973,-22,-25,29,92,27,22,54,107,-17,6,1,-59
42N,125W,1974,59,11,-19,-2,73,74,-45,44,2,41,20,34
42N,125W,1975,56,-37,3,56,22,117,1,32,36,-11,25,45
42N,125W,1976,57,24,17,-18,53,63,-37,-47,16,7,19,30
42N,125W,1977,46,-29,41,-6,-43,100,60,-12,-4,4,24,-53
42N,125W,1978,-103,-40,-3,-23,32,-16,60,-18,-28,33,46,60
42N,125W,1979,37,-41,0,-20,21,50,-70,-45,-28,-4,-46,-89
42N,125W,1980,60,-96,19,-27,43,-20,20,88,-7,-3,-4,-59
42N,125W,1981,-112,-11,-4,11,-13,-25,69,-13,-21,-1,-27,-48
42N,125W,1982,60,-3,-5,-30,110,-37,-35,-40,1,-22,-7,-40
42N,125W,1983,-145,-228,-132,-25,-23,-26,-71,-48,25,0,-102,35
42N,125W,1984,50,-57,-12,-15,-58,-2,49,-28,-5,-4,-75,53
42N,125W,1985,35,37,2,-12,-47,-14,-52,-28,-15,1,43,-23
42N,125W,1986,-202,-44,-22,14,-65,-68,-14,-14,-25,-6,41,-44
42N,125W,1987,-23,16,-29,-20,-24,-22,-66,49,2,9,2,19
42N,125W,1988,-25,28,8,-27,-66,-38,4,31,8,4,-14,53
42N,125W,1989,67,27,-46,-28,-13,-25,-4,18,-9,2,42,41
42N,125W,1990,44,19,-2,-3,-53,-57,-10,-46,10,12,42,59
42N,125W,1991,46,-17,7,7,56,66,39,-42,41,33,37,29
42N,125W,1992,-51,-95,0,-35,62,-4,-6,26,6,0,31,36
42N,125W,1993,28,-8,-21,-56,-80,-17,53,35,36,5,48,-18
42N,125W,1994,27,-3,-3,-1,-4,-5,63,2,0,21,32,-43
42N,125W,1995,-265,19,-33,-18,40,-28,-50,7,-17,18,3,-86
42N,125W,1996,22,-56,-2,-52,7,74,64,35,22,10,35,-49
42N,125W,1997,15,35,1,-15,-69,10,45,-66,-28,6,-42,25
42N,125W,1998,-131,-207,-1,-7,-46,107,43,152,94,2,-61,51
42N,125W,1999,-26,-189,-26,101,78,74,75,39,123,7,-81,36
42N,125W,2000,-17,-96,6,-27,-33,89,62,128,20,8,32,0
42N,125W,2001,13,6,22,3,107,84,256,46,57,56,-25,-61
42N,125W,2002,33,10,-1,51,20,93,139,161,58,60,-47,-204
42N,125W,2003,-148,36,-28,-34,55,139,202,120,54,5,1,-178
42N,125W,2004,-105,-71,9,-21,4,26,-22,-37,38,15,72,53
42N,125W,2005,12,39,-3,-17,-67,-21,42,91,97,12,50,-31
42N,125W,2006,-19,37,-65,-25,24,50,112,102,42,87,8,33
42N,125W,2007,116,16,35,16,73,-15,-86,-23,17,4,63,46
42N,125W,2008,60,35,34,23,31,47,-23,-14,20,15,36,59
42N,125W,2009,75,1,24,49,-23,-30,-33,-30,-9,7,14,9
42N,125W,2010,-202,-44,-10,-11,-38,-5,85,34,-19,0,40,-87
42N,125W,2011,67,30,-137,-11,-39,-3,42,62,-1,9,26,87
42N,125W,2012,48,25,-61,-38,43,-30,110,67,100,0,-30,7
42N,125W,2013,71,59,7,53,-20,-1,258,-20,-16,60,43,127
42N,125W,2014,67,2,-8,-11,-1,165,122,101,7,-13,24,-25
42N,125W,2015,66,24,1,39,130,147,1,5,74,9,44,-60
42N,125W,2016,-173,-9,-39,-2,81,67,109,97,94,-70,-67,63
42N,125W,2017,27,-21,-26,-39,60,21,157,82,31,39,-32,59
42N,125W,2018,-5,106,-8,-24,83,78,81,66,56,15,42,11
42N,125W,2019,6,33,-3,23,24,135,19,2,25,30,82,5
42N,125W,2020,-22,120,32,31,-58,28,90,74,-33,84,36,31
42N,125W,2021,20,41,1,69,116,2,194,,,,,
999,9,,,,,,,,,,,,,
45N,125W,1946,32,-52,3,-14,-7,-46,-49,10,-15,22,50,74
45N,125W,1947,65,17,8,-9,3,-40,-70,22,2,-61,77,25
45N,125W,1948,64,34,8,-28,-34,-5,-44,-27,-14,17,33,56
45N,125W,1949,95,-14,11,-12,-27,9,-12,-43,-9,23,-138,43
45N,125W,1950,78,-119,-34,-13,15,-16,-3,-35,-2,-34,2,-75
45N,125W,1951,29,8,13,25,-18,57,-14,48,-10,4,-64,74
45N,125W,1952,-41,17,16,-11,-16,-17,8,0,-1,19,10,-180
45N,125W,1953,-141,46,-2,-12,-32,-24,-7,-40,2,11,-73,48
45N,125W,1954,37,-54,17,-5,-6,-44,-37,-13,-9,-27,-67,-71
45N,125W,1955,50,45,16,-9,33,12,-6,48,21,9,30,14
45N,125W,1956,-56,32,-7,48,23,-29,18,12,-11,15,54,33
45N,125W,1957,78,35,-13,4,-24,-13,-8,-15,-11,19,59,-32
45N,125W,1958,-177,-115,11,-10,4,1,50,13,-9,12,48,-27
45N,125W,1959,9,31,6,12,-1,-18,28,40,-13,20,60,37
45N,125W,1960,-9,20,-1,-34,-45,17,-18,-9,10,-19,-13,6
45N,125W,1961,-159,-87,-76,2,-33,-27,-23,-17,26,22,20,54
45N,125W,1962,73,27,9,-16,8,-19,33,-29,-5,1,-39,-6
45N,125W,1963,107,-74,12,-18,-26,24,-36,-15,-21,-41,19,1
45N,125W,1964,-24,60,17,48,11,-16,-23,-10,16,-1,26,-2
45N,125W,1965,5,44,25,-4,50,55,25,-2,59,-13,-48,33
45N,125W,1966,-12,20,-35,34,67,-28,6,60,-10,19,31,-66
45N,125W,1967,-2,38,0,2,54,87,60,43,-1,-54,60,56
45N,125W,1968,-8,-99,-32,38,-1,11,30,-29,2,-19,-47,-2
45N,125W,1969,49,-46,13,-30,-21,13,32,-4,-10,6,21,-64
45N,125W,1970,-4,-24,16,16,-1,-2,-3,23,-5,13,20,-13
45N,125W,1971,62,31,-34,-11,32,-35,-9,-26,-8,21,34,66
45N,125W,1972,75,-56,-10,-10,0,7,-22,6,3,54,10,25
45N,125W,1973,-17,4,14,34,-9,-21,2,53,-13,17,28,-36
45N,125W,1974,58,-4,-22,-7,-8,32,-38,22,0,26,28,18
45N,125W,1975,61,-30,14,26,-8,50,-6,-10,22,-28,-5,49
45N,125W,1976,53,17,5,-9,-13,8,-51,-33,-2,20,43,46
45N,125W,1977,54,-62,23,-8,-25,23,-1,-9,-9,13,7,-7
45N,125W,1978,-51,-41,14,-10,-6,-14,18,-37,-21,25,70,89
45N,125W,1979,27,-56,15,-3,0,38,-44,-19,-16,12,-53,-64
45N,125W,1980,75,-108,16,-16,18,-16,29,46,-7,1,-47,-20
45N,125W,1981,-112,-21,1,-9,-22,-40,33,-10,-17,15,-29,-13
45N,125W,1982,63,-25,10,-11,45,11,-23,-12,-4,-20,22,-5
45N,125W,1983,-108,-169,-80,-6,1,-29,-56,-15,9,19,-92,41
45N,125W,1984,65,-84,-18,-17,-36,-11,47,-13,-13,-1,-64,79
45N,125W,1985,31,45,10,-4,-19,4,9,-4,-4,11,71,-29
45N,125W,1986,-207,-8,-21,4,-33,-23,-8,34,-6,13,58,-56
45N,125W,1987,-53,12,-23,-10,-11,-5,-39,49,1,24,-16,23
45N,125W,1988,-31,41,6,-9,-40,-34,-8,21,1,20,-18,73
45N,125W,1989,78,32,-44,-8,-8,-5,-26,12,12,19,62,71
45N,125W,1990,47,21,11,2,-25,-33,29,-25,18,15,36,84
45N,125W,1991,60,-34,16,-2,17,11,6,-24,42,34,24,37
45N,125W,1992,-76,-81,19,-20,32,13,7,16,-3,16,32,60
45N,125W,1993,39,-3,-20,-73,-38,-24,-9,15,25,21,71,-4
45N,125W,1994,50,-3,8,-5,-12,-20,44,-13,1,21,38,-56
45N,125W,1995,-198,35,-22,-7,35,-17,-11,-18,-11,20,-4,-68
45N,125W,1996,49,-33,15,-62,0,21,74,20,17,19,56,2
45N,125W,1997,38,45,-26,-11,-33,-39,-16,-46,-19,7,-25,35
45N,125W,1998,-90,-129,14,0,-14,41,-14,50,45,6,-86,40
45N,125W,1999,-61,-283,-51,22,-3,-19,13,-1,59,17,-51,34
45N,125W,2000,21,-30,2,-9,-27,7,-18,19,-6,16,35,12
45N,125W,2001,12,29,15,-9,11,-11,61,-31,12,22,-45,-68
45N,125W,2002,7,19,9,8,-20,-18,29,40,8,33,-41,-128
45N,125W,2003,-114,47,-67,-27,-7,31,19,24,12,4,40,-112
45N,125W,2004,-63,-51,10,-9,-18,-6,-21,-29,1,22,74,78
45N,125W,2005,18,51,7,-19,-36,-25,-1,42,37,-4,62,8
45N,125W,2006,-64,47,-52,-9,-5,14,27,64,20,59,-45,24
45N,125W,2007,92,-1,7,-9,18,-35,-60,-19,9,11,72,32
45N,125W,2008,69,36,6,0,0,-4,-25,-31,15,20,35,74
45N,125W,2009,91,29,11,16,-21,-14,-12,-24,-15,12,-40,29
45N,125W,2010,-164,-45,-14,-9,-26,-22,45,1,-17,8,40,-79
45N,125W,2011,76,37,-142,-10,-26,-24,-15,13,-14,19,34,95
45N,125W,2012,31,3,-59,-25,-10,-42,22,8,50,10,-19,10
45N,125W,2013,91,43,12,7,-28,-34,112,-33,-18,33,63,98
45N,125W,2014,76,-15,-18,-12,-25,12,26,30,-11,-16,20,8
45N,125W,2015,62,27,8,-2,52,73,0,-5,5,17,63,-68
45N,125W,2016,-167,-65,-70,-7,35,9,-6,39,12,-99,-82,85
45N,125W,2017,11,3,-40,-40,-5,-18,33,37,6,22,-55,72
45N,125W,2018,-68,64,7,-17,25,-15,17,18,-4,20,52,-19
45N,125W,2019,2,47,4,-3,17,28,-42,-22,-9,20,77,30
45N,125W,2020,-93,56,21,7,-34,-19,0,-8,-18,30,30,-3
45N,125W,2021,2,33,10,21,9,-28,55,,,,,
999,9,,,,,,,,,,,,,
48N,125W,1946,27,-36,2,-13,-6,-26,-27,5,-5,37,39,77
48N,125W,1947,61,7,12,0,3,-19,-35,6,0,-57,87,22
48N,125W,1948,23,37,13,-7,-21,0,-20,-11,-6,25,40,39
48N,125W,1949,88,15,8,-15,-18,-2,-16,-23,-7,37,-131,80
48N,125W,1950,73,-154,-19,-24,0,-17,-22,-21,-4,-35,-3,-40
48N,125W,1951,22,-1,13,8,-16,26,-22,15,-6,9,-77,82
48N,125W,1952,-72,12,14,-35,-16,-15,-2,-8,-5,26,-16,-193
48N,125W,1953,-18,34,-9,-9,-24,-21,-24,-22,-4,-12,-102,68
48N,125W,1954,45,-38,18,3,-14,-27,-28,-6,-4,-46,-45,-66
48N,125W,1955,41,46,23,-5,19,5,-14,17,7,7,20,4
48N,125W,1956,-80,25,-7,28,14,-18,16,9,-2,25,42,29
48N,125W,1957,33,29,-16,8,-9,-3,-5,-13,-4,26,53,-14
48N,125W,1958,-150,-101,11,-3,8,19,56,14,-3,8,53,-57
48N,125W,1959,4,17,-4,10,1,-15,8,21,-4,35,54,-9
48N,125W,1960,-37,15,-8,-36,-29,14,-6,-1,3,-17,3,-11
48N,125W,1961,-164,-59,-70,14,-17,-20,-2,-9,19,35,22,55
48N,125W,1962,48,27,15,-16,9,-13,20,-15,-2,4,-33,-6
48N,125W,1963,91,-54,20,-3,-15,18,-10,-3,-13,-67,14,0
48N,125W,1964,11,58,26,39,17,-3,-16,-7,3,11,43,15
48N,125W,1965,26,43,17,0,36,33,28,7,32,-38,-29,33
48N,125W,1966,-11,22,-49,32,34,-14,21,27,-4,30,44,-66
48N,125W,1967,23,20,9,10,33,60,36,36,-1,-58,56,49
48N,125W,1968,-17,-128,-34,30,0,5,19,-4,4,-37,-44,13
48N,125W,1969,29,-69,15,-41,-9,32,28,-4,-7,12,-11,-96
48N,125W,1970,-1,-26,19,23,0,8,9,14,-3,14,25,-6
48N,125W,1971,64,29,-34,-14,24,-19,5,-7,-3,32,32,80
