LAT,LONG,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
24N,113W,1953,-16,-27,11,20,6,35,-21,2,36,46,27,55
24N,113W,1954,10,-34,-53,49,-41,-45,-34,-18,-36,-17,-25,9
24N,113W,1955,2,11,6,93,55,80,69,33,31,116,29,26
24N,113W,1956,19,33,70,29,82,34,29,62,8,37,-1,22
24N,113W,1957,0,27,29,40,46,31,47,-1,129,34,76,69
24N,113W,1958,54,82,74,50,99,99,28,27,13,17,29,17
24N,113W,1959,49,-12,29,14,13,68,35,18,54,78,20,-11
24N,113W,1960,58,68,62,-42,12,-64,-40,-12,-47,-26,-20,4
24N,113W,1961,-22,3,16,-38,-23,-64,-23,-20,-46,-22,-14,-6
24N,113W,1962,-19,-31,-35,-33,-25,-19,12,-17,-21,19,18,-2
24N,113W,1963,-20,-35,-16,15,-6,10,1,25,-17,-7,30,-6
24N,113W,1964,1,-10,-28,5,15,21,-14,-2,-17,-49,-32,-30
24N,113W,1965,-44,-65,-83,-77,-59,-41,-4,-36,-36,-60,-58,-39
24N,113W,1966,-32,-56,-82,-108,-124,-93,-29,-43,-48,-53,-50,-30
24N,113W,1967,-16,-37,-40,8,-38,5,29,-4,60,-14,-36,-34
24N,113W,1968,-45,-64,-64,-50,-22,-65,-13,4,17,-6,14,4
24N,113W,1969,-34,-8,10,2,-36,-54,-6,-17,-11,-61,-53,-9
24N,113W,1970,-8,-61,-32,-7,-17,-56,-15,-16,-38,-24,-29,30
24N,113W,1971,36,18,40,28,9,1,-2,-27,-14,14,47,56
24N,113W,1972,34,3,68,79,36,27,5,-33,35,-44,6,6
24N,113W,1973,17,-40,62,25,-1,-22,7,38,73,16,52,33
24N,113W,1974,1,4,7,21,4,-47,-24,5,4,-14,-10,18
24N,113W,1975,-6,11,40,68,-13,-36,-11,1,1,28,3,-4
24N,113W,1976,-27,-24,34,36,48,43,59,41,8,4,-19,-7
24N,113W,1977,-28,22,60,77,41,34,31,23,19,-32,13,-8
24N,113W,1978,-19,-22,-28,37,1,-25,8,19,37,13,10,-10
24N,113W,1979,-28,-3,-17,-15,-34,-1,20,48,57,105,22,-21
24N,113W,1980,-11,-21,-21,16,21,-25,-1,-10,51,-13,6,-16
24N,113W,1981,-41,-58,-38,-23,-53,-63,-8,10,15,-6,-1,-21
24N,113W,1982,-20,-58,-46,-48,-74,-41,-9,3,18,-8,-10,-8
24N,113W,1983,-16,20,4,-21,54,3,7,-5,-42,-20,11,8
24N,113W,1984,13,1,-9,-19,-21,-73,-12,-14,-26,-27,-2,-26
24N,113W,1985,-32,-49,-20,-58,-22,-36,-26,-25,-24,-24,-25,-11
24N,113W,1986,-16,-37,-9,-57,-41,-45,-24,-14,24,-4,-20,-14
24N,113W,1987,-7,-25,-13,-17,-55,16,20,-3,-8,-40,-13,5
24N,113W,1988,-11,-53,-25,-65,-63,14,13,23,34,5,15,23
24N,113W,1989,-18,-16,-27,8,-39,-44,5,20,-17,-6,-21,-13
24N,113W,1990,-28,-38,-28,-46,-34,-102,-42,5,-26,-34,11,-13
24N,113W,1991,-8,-21,-18,-4,19,-11,11,7,-13,-47,9,-7
24N,113W,1992,-14,-36,-34,-19,-35,-51,-49,-29,-64,-15,-1,25
24N,113W,1993,-13,-31,3,19,-26,-14,19,-1,-6,8,5,33
24N,113W,1994,13,7,18,35,35,-24,39,1,-3,42,41,14
24N,113W,1995,24,-31,18,54,41,68,25,5,-21,89,12,27
24N,113W,1996,15,-1,22,62,23,5,23,-30,-2,20,24,35
24N,113W,1997,35,15,-5,26,-23,-15,39,4,-47,32,22,51
24N,113W,1998,70,71,35,101,67,-14,-4,-30,78,97,56,94
24N,113W,1999,80,47,57,70,47,12,33,36,60,17,86,33
24N,113W,2000,38,8,2,35,-20,-83,19,-19,6,-2,23,19
24N,113W,2001,19,-10,-4,10,-21,-42,-8,-7,26,1,72,63
24N,113W,2002,33,8,15,-9,-7,-49,-25,7,-24,40,-13,40
24N,113W,2003,-8,-49,13,19,12,53,2,33,-8,20,78,56
24N,113W,2004,26,17,8,2,17,-12,11,4,-25,48,73,26
24N,113W,2005,16,-36,75,64,1,8,9,-2,12,83,78,47
24N,113W,2006,47,27,57,86,28,-15,0,4,100,96,59,88
24N,113W,2007,44,66,76,97,80,35,3,38,49,56,46,48
